#feature.id	feature.chr	feature.start	feature.end	feature.strand	peak.chr	peak.start	peak.end	order	dist_closest	dist_TSS	dist_TES
AF064749_Col6a3	chr1	92566771	92800755	-	chr1	92070253	92070431	1 of 2	496340	730324	496340
AF064749_Col6a3	chr1	92566771	92800755	-	chr1	92070253	92070431	2 of 2	496340	730324	496340
AK015559_4930472D16Rik	chr1	25020851	25021989	-	chr1	24730996	24731077	1 of 4	289774	290912	289774
AK015559_4930472D16Rik	chr1	25020851	25021989	-	chr1	24609923	24609992	2 of 4	410859	411997	410859
AK015559_4930472D16Rik	chr1	25020851	25021989	-	chr1	24609923	24609992	3 of 4	410859	411997	410859
AK015559_4930472D16Rik	chr1	25020851	25021989	-	chr1	24609562	24609623	4 of 4	411228	412366	411228
AK030377_A330023F24Rik	chr1	196781953	196826186	-	chr1	197057796	197057843	1 of 1	231610	231610	275843
AK080193_A530079E22Rik	chr1	89401837	89403491	-	chr1	89989553	89989714	1 of 4	586062	586062	587716
AK080193_A530079E22Rik	chr1	89401837	89403491	-	chr1	89989553	89989714	2 of 4	586062	586062	587716
AK080193_A530079E22Rik	chr1	89401837	89403491	-	chr1	89989553	89989714	3 of 4	586062	586062	587716
AK080193_A530079E22Rik	chr1	89401837	89403491	-	chr1	89989553	89989714	4 of 4	586062	586062	587716
AK082264_C230030N03Rik	chr1	34735043	34781084	+	chr1	34206924	34207100	1 of 2	527943	527943	573984
AK082264_C230030N03Rik	chr1	34735043	34781084	+	chr1	34206924	34207100	2 of 2	527943	527943	573984
BC006931_AI597479	chr1	43153807	43172843	+	---	---	---	---	---	---	---
BC021773_Glb1l	chr1	75193364	75207353	-	chr1	75481920	75482054	1 of 2	274567	274567	288556
BC021773_Glb1l	chr1	75193364	75207353	-	chr1	75481920	75482054	2 of 2	274567	274567	288556
BC023951_D1Ertd622e	chr1	99540054	99558631	-	---	---	---	---	---	---	---
BC028767_3110009E18Rik	chr1	122017764	122114603	+	---	---	---	---	---	---	---
BC031781_BC031781	chr1	182781250	182798240	+	chr1	182479646	182479905	1 of 2	301345	301345	318335
BC031781_BC031781	chr1	182781250	182798240	+	chr1	182479646	182479905	2 of 2	301345	301345	318335
BC034187_BC035947	chr1	78493611	78497758	-	chr1	78630893	78631160	1 of 4	133135	133135	137282
BC034187_BC035947	chr1	78493611	78497758	-	chr1	78630893	78631160	2 of 4	133135	133135	137282
BC034187_BC035947	chr1	78493611	78497758	-	chr1	78630893	78631160	3 of 4	133135	133135	137282
BC034187_BC035947	chr1	78493611	78497758	-	chr1	78630893	78631160	4 of 4	133135	133135	137282
BC043098_Fam168b	chr1	34870072	34917183	-	chr1	34206924	34207100	1 of 2	662972	710083	662972
BC043098_Fam168b	chr1	34870072	34917183	-	chr1	34206924	34207100	2 of 2	662972	710083	662972
BC049091_D1Bwg0212e	chr1	39592545	39603734	+	chr1	39492140	39492513	1 of 4	100032	100032	111221
BC049091_D1Bwg0212e	chr1	39592545	39603734	+	chr1	39492140	39492513	2 of 4	100032	100032	111221
BC049091_D1Bwg0212e	chr1	39592545	39603734	+	chr1	40325917	40326123	3 of 4	722183	733372	722183
BC049091_D1Bwg0212e	chr1	39592545	39603734	+	chr1	40325917	40326123	4 of 4	722183	733372	722183
BC049713_Ankrd45	chr1	163072817	163099826	+	chr1	163827897	163828062	1 of 3	728071	755080	728071
BC049713_Ankrd45	chr1	163072817	163099826	+	chr1	163827897	163828062	2 of 3	728071	755080	728071
BC049713_Ankrd45	chr1	163072817	163099826	+	chr1	163827897	163828062	3 of 3	728071	755080	728071
BC050813_4921511C04Rik	chr1	37157481	37244861	+	---	---	---	---	---	---	---
BC051128_4921521F21Rik	chr1	65059273	65079312	-	---	---	---	---	---	---	---
BC052693_2810422O20Rik	chr1	165924541	165927371	+	---	---	---	---	---	---	---
