#chr	start	end	geneID	strand	TSS	TES	dist_closest_edge	dist_TSS	dist_TES	overlap_transcript	overlap_promoter
chr1	9619046	9619167	BC070446_Fam135a	-	24107170	24017617	14398450	14488003	14398450	0	0
chr1	9619175	9619382	BC070446_Fam135a	-	24107170	24017617	14398235	14487788	14398235	0	0
chr1	10617233	10617437	BC070446_Fam135a	-	24107170	24017617	13400180	13489733	13400180	0	0
chr1	13829227	13829564	BC070446_Fam135a	-	24107170	24017617	10188053	10277606	10188053	0	0
chr1	17030405	17030545	BC070446_Fam135a	-	24107170	24017617	6987072	7076625	6987072	0	0
chr1	17030405	17030545	BC070446_Fam135a	-	24107170	24017617	6987072	7076625	6987072	0	0
chr1	24609562	24609623	AK015559_4930472D16Rik	-	25021989	25020851	411228	412366	411228	0	0
chr1	24609562	24609623	AK015559_4930472D16Rik	-	25021989	25020851	411228	412366	411228	0	0
chr1	24609923	24609992	AK015559_4930472D16Rik	-	25021989	25020851	410859	411997	410859	0	0
chr1	24609923	24609992	AK015559_4930472D16Rik	-	25021989	25020851	410859	411997	410859	0	0
chr1	24730996	24731077	AK015559_4930472D16Rik	-	25021989	25020851	289774	290912	289774	0	0
chr1	26734195	26734485	AK015559_4930472D16Rik	-	25021989	25020851	1712206	1712206	1713344	0	0
chr1	34206924	34207100	BC070435_Fam123c	+	34620070	34671545	412970	412970	464445	0	0
chr1	34206924	34207100	BC070435_Fam123c	+	34620070	34671545	412970	412970	464445	0	0
chr1	36106813	36107058	BC050813_4921511C04Rik	+	37157481	37244861	1050423	1050423	1137803	0	0
chr1	39492140	39492513	BC049091_D1Bwg0212e	+	39592545	39603734	100032	100032	111221	0	0
chr1	39492140	39492513	BC049091_D1Bwg0212e	+	39592545	39603734	100032	100032	111221	0	0
chr1	40325917	40326123	BC049091_D1Bwg0212e	+	39592545	39603734	722183	733372	722183	0	0
chr1	40325917	40326123	BC049091_D1Bwg0212e	+	39592545	39603734	722183	733372	722183	0	0
chr1	40325917	40326123	BC049091_D1Bwg0212e	+	39592545	39603734	722183	733372	722183	0	0
chr1	44195449	44195639	BC006931_AI597479	+	43153807	43172843	1022606	1041642	1022606	0	0
chr1	44195449	44195639	BC006931_AI597479	+	43153807	43172843	1022606	1041642	1022606	0	0
chr1	52625416	52625560	BC071241_9430016H08Rik	+	57463192	57497936	4837632	4837632	4872376	0	0
chr1	52625416	52625560	BC071241_9430016H08Rik	+	57463192	57497936	4837632	4837632	4872376	0	0
chr1	52625416	52625560	BC071241_9430016H08Rik	+	57463192	57497936	4837632	4837632	4872376	0	0
chr1	54631692	54631815	BC071241_9430016H08Rik	+	57463192	57497936	2831377	2831377	2866121	0	0
chr1	55283572	55283675	BC071241_9430016H08Rik	+	57463192	57497936	2179517	2179517	2214261	0	0
chr1	55283572	55283675	BC071241_9430016H08Rik	+	57463192	57497936	2179517	2179517	2214261	0	0
chr1	63664888	63665018	BC051128_4921521F21Rik	-	65079312	65059273	1394255	1414294	1394255	0	0
chr1	72769824	72770056	BC021773_Glb1l	-	75207353	75193364	2423308	2437297	2423308	0	0
chr1	72770058	72770226	BC021773_Glb1l	-	75207353	75193364	2423138	2437127	2423138	0	0
chr1	72815517	72815742	BC021773_Glb1l	-	75207353	75193364	2377622	2391611	2377622	0	0
chr1	75481920	75482054	BC021773_Glb1l	-	75207353	75193364	274567	274567	288556	0	0
chr1	75481920	75482054	BC021773_Glb1l	-	75207353	75193364	274567	274567	288556	0	0
chr1	77457642	77457791	BC034187_BC035947	-	78497758	78493611	1035820	1039967	1035820	0	0
chr1	78630893	78631160	BC034187_BC035947	-	78497758	78493611	133135	133135	137282	0	0
chr1	78630893	78631160	BC034187_BC035947	-	78497758	78493611	133135	133135	137282	0	0
chr1	78630893	78631160	BC034187_BC035947	-	78497758	78493611	133135	133135	137282	0	0
chr1	78630893	78631160	BC034187_BC035947	-	78497758	78493611	133135	133135	137282	0	0
chr1	88408969	88409267	BC052931_A630001G21Rik	-	87674840	87601462	734129	734129	807507	0	0
chr1	89989553	89989714	AK080193_A530079E22Rik	-	89403491	89401837	586062	586062	587716	0	0
chr1	89989553	89989714	AK080193_A530079E22Rik	-	89403491	89401837	586062	586062	587716	0	0
chr1	89989553	89989714	AK080193_A530079E22Rik	-	89403491	89401837	586062	586062	587716	0	0
chr1	89989553	89989714	AK080193_A530079E22Rik	-	89403491	89401837	586062	586062	587716	0	0
chr1	89989553	89989714	AK080193_A530079E22Rik	-	89403491	89401837	586062	586062	587716	0	0
chr1	90412932	90413132	AK080193_A530079E22Rik	-	89403491	89401837	1009441	1009441	1011095	0	0
chr1	90592499	90592629	AK080193_A530079E22Rik	-	89403491	89401837	1189008	1189008	1190662	0	0
chr1	91496003	91496145	AF064749_Col6a3	-	92800755	92566771	1070626	1304610	1070626	0	0
chr1	91496003	91496145	AF064749_Col6a3	-	92800755	92566771	1070626	1304610	1070626	0	0
chr1	91496155	91496319	AF064749_Col6a3	-	92800755	92566771	1070452	1304436	1070452	0	0
chr1	91496155	91496319	AF064749_Col6a3	-	92800755	92566771	1070452	1304436	1070452	0	0
chr1	92070253	92070431	AF064749_Col6a3	-	92800755	92566771	496340	730324	496340	0	0
chr1	92070253	92070431	AF064749_Col6a3	-	92800755	92566771	496340	730324	496340	0	0
chr1	95186508	95186637	AF064749_Col6a3	-	92800755	92566771	2385753	2385753	2619737	0	0
chr1	95186508	95186637	AF064749_Col6a3	-	92800755	92566771	2385753	2385753	2619737	0	0
chr1	108747519	108747791	BC059254_Phlpp	+	108042052	108306367	441152	705467	441152	0	0
chr1	108747519	108747791	BC059254_Phlpp	+	108042052	108306367	441152	705467	441152	0	0
chr1	108747519	108747791	BC059254_Phlpp	+	108042052	108306367	441152	705467	441152	0	0
