#chr	start	end	geneID	strand	TSS	TES	dist_closest_edge	dist_TSS	dist_TES	overlap_transcript	overlap_promoter
chr1	9619046	9619167	BC070446_Fam135a	-	24107170	24017617	14398450	14488003	14398450	0	0
chr1	9619046	9619167	AK015559_4930472D16Rik	-	25021989	25020851	15401684	15402822	15401684	0	0
chr1	9619046	9619167	BC070435_Fam123c	+	34620070	34671545	25000903	25000903	25052378	0	0
chr1	9619046	9619167	AK082264_C230030N03Rik	+	34735043	34781084	25115876	25115876	25161917	0	0
chr1	9619175	9619382	BC070446_Fam135a	-	24107170	24017617	14398235	14487788	14398235	0	0
chr1	9619175	9619382	AK015559_4930472D16Rik	-	25021989	25020851	15401469	15402607	15401469	0	0
chr1	9619175	9619382	BC070435_Fam123c	+	34620070	34671545	25000688	25000688	25052163	0	0
chr1	9619175	9619382	AK082264_C230030N03Rik	+	34735043	34781084	25115661	25115661	25161702	0	0
chr1	10617233	10617437	BC070446_Fam135a	-	24107170	24017617	13400180	13489733	13400180	0	0
chr1	10617233	10617437	AK015559_4930472D16Rik	-	25021989	25020851	14403414	14404552	14403414	0	0
chr1	10617233	10617437	BC070435_Fam123c	+	34620070	34671545	24002633	24002633	24054108	0	0
chr1	10617233	10617437	AK082264_C230030N03Rik	+	34735043	34781084	24117606	24117606	24163647	0	0
chr1	13829227	13829564	BC070446_Fam135a	-	24107170	24017617	10188053	10277606	10188053	0	0
chr1	13829227	13829564	AK015559_4930472D16Rik	-	25021989	25020851	11191287	11192425	11191287	0	0
chr1	13829227	13829564	BC070435_Fam123c	+	34620070	34671545	20790506	20790506	20841981	0	0
chr1	13829227	13829564	AK082264_C230030N03Rik	+	34735043	34781084	20905479	20905479	20951520	0	0
chr1	17030405	17030545	BC070446_Fam135a	-	24107170	24017617	6987072	7076625	6987072	0	0
chr1	17030405	17030545	AK015559_4930472D16Rik	-	25021989	25020851	7990306	7991444	7990306	0	0
chr1	17030405	17030545	BC070435_Fam123c	+	34620070	34671545	17589525	17589525	17641000	0	0
chr1	17030405	17030545	AK082264_C230030N03Rik	+	34735043	34781084	17704498	17704498	17750539	0	0
chr1	17030405	17030545	BC070446_Fam135a	-	24107170	24017617	6987072	7076625	6987072	0	0
chr1	17030405	17030545	AK015559_4930472D16Rik	-	25021989	25020851	7990306	7991444	7990306	0	0
chr1	17030405	17030545	BC070435_Fam123c	+	34620070	34671545	17589525	17589525	17641000	0	0
chr1	17030405	17030545	AK082264_C230030N03Rik	+	34735043	34781084	17704498	17704498	17750539	0	0
chr1	24609562	24609623	AK015559_4930472D16Rik	-	25021989	25020851	411228	412366	411228	0	0
chr1	24609562	24609623	BC070446_Fam135a	-	24107170	24017617	502392	502392	591945	0	0
chr1	24609562	24609623	BC070435_Fam123c	+	34620070	34671545	10010447	10010447	10061922	0	0
chr1	24609562	24609623	AK082264_C230030N03Rik	+	34735043	34781084	10125420	10125420	10171461	0	0
chr1	24609562	24609623	AK015559_4930472D16Rik	-	25021989	25020851	411228	412366	411228	0	0
chr1	24609562	24609623	BC070446_Fam135a	-	24107170	24017617	502392	502392	591945	0	0
chr1	24609562	24609623	BC070435_Fam123c	+	34620070	34671545	10010447	10010447	10061922	0	0
chr1	24609562	24609623	AK082264_C230030N03Rik	+	34735043	34781084	10125420	10125420	10171461	0	0
chr1	24609923	24609992	AK015559_4930472D16Rik	-	25021989	25020851	410859	411997	410859	0	0
chr1	24609923	24609992	BC070446_Fam135a	-	24107170	24017617	502753	502753	592306	0	0
chr1	24609923	24609992	BC070435_Fam123c	+	34620070	34671545	10010078	10010078	10061553	0	0
chr1	24609923	24609992	AK082264_C230030N03Rik	+	34735043	34781084	10125051	10125051	10171092	0	0
chr1	24609923	24609992	AK015559_4930472D16Rik	-	25021989	25020851	410859	411997	410859	0	0
chr1	24609923	24609992	BC070446_Fam135a	-	24107170	24017617	502753	502753	592306	0	0
chr1	24609923	24609992	BC070435_Fam123c	+	34620070	34671545	10010078	10010078	10061553	0	0
