peak	s	e
chr1	9619046	9619167
chr1	9619175	9619382
chr1	10617233	10617437
chr1	13829227	13829564
chr1	17030405	17030545
chr1	17030405	17030545
chr1	24609562	24609623
chr1	24609562	24609623
chr1	24609923	24609992
chr1	24609923	24609992
chr1	24730996	24731077
chr1	26734195	26734485
chr1	34206924	34207100
chr1	34206924	34207100
chr1	36106813	36107058
chr1	39492140	39492513
chr1	39492140	39492513
chr1	40325917	40326123
chr1	40325917	40326123
chr1	40325917	40326123
chr1	44195449	44195639
chr1	44195449	44195639
chr1	52625416	52625560
chr1	52625416	52625560
chr1	52625416	52625560
chr1	54631692	54631815
chr1	55283572	55283675
chr1	55283572	55283675
chr1	63664888	63665018
chr1	72769824	72770056
chr1	72770058	72770226
chr1	72815517	72815742
chr1	75481920	75482054
chr1	75481920	75482054
chr1	77457642	77457791
chr1	78630893	78631160
chr1	78630893	78631160
chr1	78630893	78631160
chr1	78630893	78631160
chr1	88408969	88409267
chr1	89989553	89989714
chr1	89989553	89989714
chr1	89989553	89989714
chr1	89989553	89989714
chr1	89989553	89989714
chr1	90412932	90413132
chr1	90592499	90592629
chr1	91496003	91496145
chr1	91496003	91496145
chr1	91496155	91496319
chr1	91496155	91496319
chr1	92070253	92070431
chr1	92070253	92070431
chr1	95186508	95186637
chr1	95186508	95186637
chr1	108747519	108747791
chr1	108747519	108747791
chr1	108747519	108747791
chr1	120760212	120760461
chr1	132950929	132951247
chr1	133114860	133115015
