#peak.id	peak.chr	peak.start	peak.end	gene.id	strand	TSS	TES	dist_closest	dist_TSS	dist_TES	direction	overlap_gene	overlap_promoter
P0001	chr1	9619046	9619167	NM_178399_3110035E14Rik	+	9591248	9617222	1824	27798	1824	D	0	0
P0001	chr1	9619046	9619167	NM_008651_Mybl1	-	9690280	9635825	16658	71113	16658	D	0	0
P0001	chr1	9619046	9619167	NM_175236_Adhfe1	+	9538049	9570746	48300	80997	48300	D	0	0
P0001	chr1	9619046	9619167	NM_021511_Rrs1	+	9535513	9537532	81514	83533	81514	D	0	0
P0002	chr1	9619175	9619382	NM_178399_3110035E14Rik	+	9591248	9617222	1953	27927	1953	D	0	0
P0002	chr1	9619175	9619382	NM_008651_Mybl1	-	9690280	9635825	16443	70898	16443	D	0	0
P0002	chr1	9619175	9619382	NM_175236_Adhfe1	+	9538049	9570746	48429	81126	48429	D	0	0
P0002	chr1	9619175	9619382	NM_021511_Rrs1	+	9535513	9537532	81643	83662	81643	D	0	0
P0003	chr1	10617233	10617437	NM_177834_Cpa6	-	10710026	10314801	0	92589	302432	.	1	0
P0003	chr1	10617233	10617437	NM_013715_Cops5	-	10028315	10014683	588918	588918	602550	U	0	0
P0003	chr1	10617233	10617437	NM_026493_Cspp1	+	10028093	10126849	490384	589140	490384	D	0	0
P0003	chr1	10617233	10617437	NM_145692_Lrrc67	-	9999420	9943781	617813	617813	673452	U	0	0
P0004	chr1	13829227	13829564	NM_001011873_Xkr9	+	13658862	13691794	137433	170365	137433	D	0	0
P0004	chr1	13829227	13829564	NM_145381_Lactb2	-	13650616	13604244	178611	178611	224983	U	0	0
P0004	chr1	13829227	13829564	NM_028173_Tram1	-	13579965	13554779	249262	249262	274448	U	0	0
P0004	chr1	13829227	13829564	NM_008678_Ncoa2	-	13399268	13129206	429959	429959	700021	U	0	0
P0005	chr1	17030405	17030545	NM_020604_Jph1	-	17087942	16837549	0	57397	192856	.	1	0
P0005	chr1	17030405	17030545	NM_010267_Gdap1	+	17135463	17385513	104918	104918	354968	U	0	0
P0005	chr1	17030405	17030545	NM_023434_Tox4	-	16760219	16757104	270186	270186	273301	U	0	0
P0005	chr1	17030405	17030545	NM_016923_Ly96	+	16678152	16699618	330787	352253	330787	D	0	0
P0006	chr1	24609562	24609623	NM_007733_Col19a1	-	24602262	24258667	7300	7300	350895	U	0	0
P0006	chr1	24609562	24609623	NM_026719_Lmbrd1	+	24593456	24847969	0	16106	238346	.	1	0
P0006	chr1	24609562	24609623	NM_026719_Lmbrd1	+	24820582	24823143	210959	210959	213520	U	0	0
P0006	chr1	24609562	24609623	AK015559_4930472D16Rik	-	25021989	25020851	411228	412366	411228	D	0	0
P0007	chr1	34206924	34207100	NM_134448_Dst	+	33965107	34411632	0	241817	204532	.	1	0
P0007	chr1	34206924	34207100	NM_177235_Bend6	-	33964764	33903283	242160	242160	303641	U	0	0
P0007	chr1	34206924	34207100	NM_178601_Imp4	+	34496377	34511555	289277	289277	304455	U	0	0
P0007	chr1	34206924	34207100	NM_027159_Ccdc115	-	34496517	34491854	284754	289417	284754	D	0	0
P0008	chr1	36106813	36107058	NM_015818_Hs6st1	+	36125255	36163289	18197	18197	56231	U	0	0
P0008	chr1	36106813	36107058	NM_198899_Ugcgl1	-	36301555	36196873	89815	194497	89815	D	0	0
P0008	chr1	36106813	36107058	NM_153408_Neurl3	-	36355139	36321504	214446	248081	214446	D	0	0
P0008	chr1	36106813	36107058	NM_145996_Arid5a	+	36359349	36380874	252291	252291	273816	U	0	0
P0009	chr1	39492140	39492513	NM_018775_Tbc1d8	-	39544345	39428350	0	51832	63790	.	1	0
P0009	chr1	39492140	39492513	NM_053257_Rpl31	+	39421000	39429094	63046	71140	63046	D	0	0
P0009	chr1	39492140	39492513	BC049091_D1Bwg0212e	+	39592545	39603734	100032	100032	111221	U	0	0
P0009	chr1	39492140	39492513	NM_170597_Creg2	-	39708307	39677083	184570	215794	184570	D	0	0
P0010	chr1	40325917	40326123	NM_008362_Il1r1	+	40274145	40373439	0	51772	47316	.	1	0
P0010	chr1	40325917	40326123	NM_133193_Il1rl2	+	40381454	40447345	55331	55331	121222	U	0	0
P0010	chr1	40325917	40326123	NM_001025602_Il1rl1	+	40462708	40522260	136585	136585	196137	U	0	0
P0010	chr1	40325917	40326123	NM_010555_Il1r2	+	40130058	40182052	143865	195859	143865	D	0	0
