peak	mid	plus1
chr17	23681171	23681172
chr2	109810219	109810220
chr2	136745391	136745392
chr14	21906019	21906020
chr11	115639021	115639022
chr15	82973449	82973450
chr5	115329525	115329526
chr9	72916030	72916031
chr1	194268840	194268841
chr8	87180694	87180695
chr2	59285910	59285911
chr12	70755181	70755182
chr4	123266401	123266402
chr10	82306942	82306943
chr12	106674392	106674393
chr15	97706407	97706408
chr14	21906019	21906020
chr2	13696935	13696936
chr5	99781594	99781595
chr11	115836265	115836266
chr11	102973374	102973375
chr19	47782532	47782533
chr8	119851483	119851484
chr10	59693654	59693655
chr18	44675226	44675227
chr3	116529685	116529686
chr3	151026490	151026491
chr7	119647132	119647133
chr8	13548998	13548999
chr2	52035090	52035091
chr13	12578010	12578011
chr12	72971895	72971896
chr10	94183365	94183366
chr3	79711488	79711489
chr3	151774393	151774394
chr5	35342159	35342160
chr17	31823497	31823498
chr5	87159785	87159786
chr3	27907564	27907565
chr7	127004913	127004914
chrX	98516735	98516736
chr17	39981683	39981684
chr17	39985109	39985110
chr7	148379180	148379181
chr7	148379362	148379363
chr1	75491987	75491988
chr12	112330425	112330426
chr12	112477144	112477145
chr17	45715395	45715396
chr4	65265851	65265852
chr4	65266046	65266047
chr17	28834572	28834573
chr10	60613588	60613589
chr11	97171690	97171691
chr16	94024219	94024220
chr15	84022595	84022596
chr18	44675226	44675227
chr9	100543647	100543648
chr5	135053576	135053577
chr3	121601368	121601369
chr4	83963547	83963548
chr4	84031308	84031309
chr3	83791586	83791587
chr3	83863238	83863239
chr16	17866100	17866101
chr6	128054836	128054837
chr1	55293624	55293625
chr1	145601109	145601110
chr8	24206095	24206096
chr16	94024219	94024220
chr3	53475904	53475905
chr1	145601109	145601110
chr5	115997785	115997786
chr9	108851463	108851464
chr19	26820923	26820924
chr14	120603083	120603084
chr14	120721569	120721570
chr15	97706407	97706408
chr13	104768206	104768207
chr5	111739454	111739455
chr1	158590699	158590700
chr11	29514477	29514478
chr19	9018714	9018715
chr5	23158397	23158398
chr1	170265171	170265172
chr5	125870085	125870086
chr14	55194787	55194788
chr11	97233548	97233549
chr14	65935630	65935631
chr6	103599133	103599134
chr2	132577421	132577422
chr1	40336020	40336021
chr8	37107644	37107645
chr8	14306960	14306961
chr11	18798190	18798191
chr11	19003164	19003165
chr11	93986729	93986730
chr15	57480129	57480130
chr7	28010205	28010206
chr12	25562241	25562242
chr12	25648378	25648379
chr2	172759694	172759695
chr2	172763360	172763361
chr3	133263978	133263979
chr3	133271907	133271908
chr11	115639021	115639022
chr7	26061110	26061111
chr5	115329525	115329526
chr5	66472573	66472574
chr13	97344282	97344283
chr14	52550650	52550651
chr16	91875996	91875997
chr7	35861923	35861924
chr10	21862583	21862584
chr10	21862774	21862775
chr12	80608252	80608253
chr16	57391635	57391636
chr16	57391748	57391749
chr5	115997785	115997786
chr10	89195191	89195192
chr12	112975712	112975713
chr5	50430918	50430919
chr5	51959859	51959860
chr13	57960273	57960274
chr6	134445175	134445176
chr6	134445312	134445313
chr1	17040475	17040476
chr3	59001668	59001669
chr2	112043286	112043287
chr2	27585569	27585570
chr11	93986729	93986730
chr8	70850825	70850826
chr11	59272503	59272504
chr4	62324439	62324440
chr11	6069204	6069205
chr1	77467717	77467718
chr17	43064430	43064431
chr16	16912317	16912318
chr3	109687117	109687118
chr3	109687117	109687118
chr9	44215148	44215149
chr5	147072751	147072752
chr5	147072865	147072866
chr2	31019531	31019532
chr5	72564131	72564132
chr2	25988548	25988549
chr15	37127869	37127870
chr11	3000481	3000482
chr1	52635488	52635489
chr9	42777363	42777364
chr19	5846865	5846866
chr15	35249192	35249193
chr15	35631086	35631087
chr9	44215148	44215149
chr1	95196573	95196574
chr14	61693994	61693995
chr12	112975712	112975713
chrX	166427362	166427363
chr11	3266659	3266660
chr17	56447632	56447633
chr12	72971895	72971896
chr12	106237696	106237697
chr1	163837980	163837981
chr1	10627335	10627336
chr10	60613588	60613589
chr6	128547343	128547344
chr16	17949763	17949764
chr7	146041529	146041530
chr2	104540072	104540073
chr7	137768001	137768002
chr3	92698059	92698060
chr14	63456124	63456125
chr11	5481053	5481054
chr9	106273656	106273657
chr1	9629107	9629108
chr1	9629279	9629280
chr12	112975712	112975713
chr5	87159785	87159786
chr13	63189880	63189881
chr13	63381834	63381835
chr4	132011663	132011664
chr9	116828689	116828690
chr9	116828689	116828690
chr9	116828689	116828690
chr9	116828689	116828690
chr9	116828689	116828690
chr2	157260393	157260394
chr4	126168413	126168414
chr2	110568326	110568327
chr10	114752719	114752720
chr2	60283369	60283370
chr1	54641754	54641755
chr9	100543647	100543648
chr18	11755885	11755886
chr7	17429367	17429368
chr16	25836029	25836030
chr16	25843933	25843934
chr5	136097865	136097866
