RefSeq_Gene Symbol	chr1	start	stop	strand	diff_exp
NM_026977_1810031K17Rik	chr1	75131500	75139270	-	0
NM_027098_Mrpl30	chr1	37947313	37959167	+	0
NM_027154_Tmbim1	chr1	74334823	74352176	-	0
NM_027159_Ccdc115	chr1	34491854	34496517	-	0
NM_027188_Smyd3	chr1	180885172	181448168	-	0
NM_027300_Spata3	chr1	87913403	87926533	+	0
NM_027351_Ppil3	chr1	58486110	58502330	-	0
NM_027357_Psmd1	chr1	87958636	88174849	+	0
NM_027407_Ica1l	chr1	60039354	60099956	-	0
NM_027415_Tmem70	chr1	16610621	16668358	+	0
NM_027430_Brp44	chr1	167390752	167411345	+	0
NM_027534_Kdsr	chr1	108617007	108656357	-	0
NM_027548_Serpinb7	chr1	109296172	109349266	+	0
NM_027551_Klhl30	chr1	93244259	93259068	+	0
NM_027637_4931428L18Rik	chr1	31197921	31279501	-	0
NM_027661_Hsfy2	chr1	56668158	56822175	-	0
NM_027677_Gpr39	chr1	127573518	127795359	+	0
NM_027678_Zranb3	chr1	129846941	130025531	-	0
NM_027725_Wdr69	chr1	83156310	83207145	+	0
NM_027884_Tns1	chr1	73956820	74144891	-	0
NM_027886_Stk11ip	chr1	75518100	75533910	+	0
NM_027893_Pvrl4	chr1	173292993	173318729	+	0
NM_027921_Slc16a14	chr1	84902046	84931841	-	0
NM_027971_Serpinb12	chr1	108831026	108853655	+	0
NM_027979_Chit1	chr1	136007829	136048117	+	0
NM_028057_Cyb5r1	chr1	136302358	136308302	+	0
NM_028091_Osgepl1	chr1	53370488	53383184	+	0
NM_028135_Tmem163	chr1	129382910	129574703	-	0
NM_028173_Tram1	chr1	13554779	13579965	-	0
NM_028250_Acbd6	chr1	157358146	157536633	+	0
NM_028320_Adipor1	chr1	136311830	136329944	+	0
NM_028333_Angptl1	chr1	158769061	158791209	+	0
NM_028399_Ccnt2	chr1	129670253	129704638	+	0
NM_028408_Cnih3	chr1	183282759	183419790	+	0
NM_028450_Gulp1	chr1	44608366	44896390	+	0
NM_028534_Smap1	chr1	23833022	23929292	-	0
NM_028696_Obfc2a	chr1	51417024	51550602	-	0
NM_028713_Rftn2	chr1	55227030	55283748	-	0
NM_028717_Als2	chr1	59219131	59294111	-	0
NM_028749_Npl	chr1	155350145	155424001	-	0
NM_028776_Scyl3	chr1	165876143	165924907	-	0
NM_028776_Scyl3	chr1	165859251	165885242	+	0
NM_028778_Nuak2	chr1	134212715	134241254	+	0
NM_028787_Slc35f5	chr1	127332249	127554856	+	0
NM_028817_Acsl3	chr1	78654388	78743434	+	0
NM_028829_Paqr8	chr1	20811519	20929711	+	0
NM_028848_Spata17	chr1	188868366	189039831	-	0
NM_028889_Efhd1	chr1	89160561	89207413	+	0
NM_028942_Slco6c1	chr1	98899133	99024880	-	0
NM_029025_Tmem81	chr1	134402623	134405216	+	0
NM_029084_Slamf8	chr1	174510275	174520700	-	0
NM_029115_4930455F23Rik	chr1	166205721	166217973	+	0
NM_029160_Spag16	chr1	69873526	70771706	+	0
NM_029269_Spp2	chr1	90303568	90373213	+	0
NM_029398_Tmem14a	chr1	21143538	21220248	+	0
NM_029409_Mff	chr1	82721393	82748958	+	0
NM_029612_Slamf9	chr1	174392516	174408706	+	0
NM_029696_Mdh1b	chr1	63745401	63776894	-	0
NM_029756_Sdccag8	chr1	178743478	178953256	+	0
NM_029766_Dtl	chr1	193272523	193399423	-	0
NM_029846_Atg16l1	chr1	89652465	89697344	+	0
NM_029888_Zfp142	chr1	74612492	74634794	-	0
NM_030013_Cyp20a1	chr1	60400175	60444904	+	0
NM_030025_Ccdc150	chr1	54251865	54451794	+	0
NM_030060_Batf3	chr1	192921746	192944913	+	0
NM_030131_Cnih4	chr1	183074401	183099213	+	0
NM_030211_Kctd18	chr1	58007830	58075790	-	0
NM_030245_Tada1l	chr1	168309248	168323752	+	0
NM_030266_Inpp4a	chr1	37356703	37476203	+	0
NM_030556_Slc19a3	chr1	83001155	83083196	-	0
NM_030676_Nr5a2	chr1	138739149	138950879	-	0
NM_030710_Slamf6	chr1	173847613	173932462	+	0
NM_030724_Uck2	chr1	169106790	169215431	-	0
NM_031164_F13b	chr1	141398326	141420329	+	0
NM_031179_Sf3b1	chr1	55042016	55084369	-	0
NM_031189_Myog	chr1	136186558	136189125	+	0
NM_031192_Ren1	chr1	135246578	135256895	+	0
NM_031402_Crispld1	chr1	17717123	17756425	+	0
NM_032005_Tbx19	chr1	167056323	167090894	-	0
NM_033077_D1Pas1	chr1	188791295	188934742	+	0
NM_033509_Vangl2	chr1	173931096	173977129	-	0
NM_033563_Klf7	chr1	64049920	64169179	-	0
NM_033570_Cnnm4	chr1	36528452	36565609	+	0
NM_033608_Igsf9	chr1	174411686	174429005	+	0
NM_033652_Lmx1a	chr1	169579767	169778872	+	0
NM_053015_Mlph	chr1	92811657	92847814	+	0
NM_053095_Il24	chr1	132778072	132784021	-	0
NM_053106_Lmod1	chr1	137221395	137264642	+	0
NM_053107_Gpr45	chr1	43009719	43092301	+	0
NM_053191_Pi15	chr1	17591992	17621000	+	0
NM_053199_Cadm3	chr1	175264723	175362523	-	0
