#chr	start	geneID	nearest	TSS	distance_to_TSS	distance_to_TES	strand	in_the_gene	transcripts_inbetween	transcript_ids_inbetween
chr17	23681171	.	.	.	.	.	.	.	.	.
chr2	109810219	.	.	.	.	.	.	.	.	.
chr2	136745391	.	.	.	.	.	.	.	.	.
chr14	21906019	.	.	.	.	.	.	.	.	.
chr11	115639021	.	.	.	.	.	.	.	.	.
chr15	82973449	.	.	.	.	.	.	.	.	.
chr5	115329525	.	.	.	.	.	.	.	.	.
chr9	72916030	.	.	.	.	.	.	.	.	.
chr1	194268840	.	.	.	.	.	.	.	.	.
chr8	87180694	.	.	.	.	.	.	.	.	.
chr2	59285910	.	.	.	.	.	.	.	.	.
chr12	70755181	.	.	.	.	.	.	.	.	.
chr4	123266401	.	.	.	.	.	.	.	.	.
chr10	82306942	.	.	.	.	.	.	.	.	.
chr12	106674392	.	.	.	.	.	.	.	.	.
chr15	97706407	.	.	.	.	.	.	.	.	.
chr14	21906019	.	.	.	.	.	.	.	.	.
chr2	13696935	.	.	.	.	.	.	.	.	.
chr5	99781594	.	.	.	.	.	.	.	.	.
chr11	115836265	.	.	.	.	.	.	.	.	.
chr11	102973374	.	.	.	.	.	.	.	.	.
chr19	47782532	.	.	.	.	.	.	.	.	.
chr8	119851483	.	.	.	.	.	.	.	.	.
chr10	59693654	.	.	.	.	.	.	.	.	.
chr18	44675226	.	.	.	.	.	.	.	.	.
chr3	116529685	.	.	.	.	.	.	.	.	.
chr3	151026490	.	.	.	.	.	.	.	.	.
chr7	119647132	.	.	.	.	.	.	.	.	.
chr8	13548998	.	.	.	.	.	.	.	.	.
chr2	52035090	.	.	.	.	.	.	.	.	.
chr13	12578010	.	.	.	.	.	.	.	.	.
chr12	72971895	.	.	.	.	.	.	.	.	.
chr10	94183365	.	.	.	.	.	.	.	.	.
chr3	79711488	.	.	.	.	.	.	.	.	.
chr3	151774393	.	.	.	.	.	.	.	.	.
chr5	35342159	.	.	.	.	.	.	.	.	.
chr17	31823497	.	.	.	.	.	.	.	.	.
chr5	87159785	.	.	.	.	.	.	.	.	.
chr3	27907564	.	.	.	.	.	.	.	.	.
chr7	127004913	.	.	.	.	.	.	.	.	.
chrX	98516735	.	.	.	.	.	.	.	.	.
chr17	39981683	.	.	.	.	.	.	.	.	.
chr17	39985109	.	.	.	.	.	.	.	.	.
chr7	148379180	.	.	.	.	.	.	.	.	.
chr7	148379362	.	.	.	.	.	.	.	.	.
chr1	75491987	.	.	.	.	.	.	.	.	.
chr12	112330425	.	.	.	.	.	.	.	.	.
chr12	112477144	.	.	.	.	.	.	.	.	.
chr17	45715395	.	.	.	.	.	.	.	.	.
chr4	65265851	.	.	.	.	.	.	.	.	.
chr4	65266046	.	.	.	.	.	.	.	.	.
chr17	28834572	.	.	.	.	.	.	.	.	.
chr10	60613588	.	.	.	.	.	.	.	.	.
chr11	97171690	.	.	.	.	.	.	.	.	.
chr16	94024219	.	.	.	.	.	.	.	.	.
chr15	84022595	.	.	.	.	.	.	.	.	.
chr18	44675226	.	.	.	.	.	.	.	.	.
chr9	100543647	.	.	.	.	.	.	.	.	.
chr5	135053576	.	.	.	.	.	.	.	.	.
chr3	121601368	.	.	.	.	.	.	.	.	.
chr4	83963547	.	.	.	.	.	.	.	.	.
chr4	84031308	.	.	.	.	.	.	.	.	.
chr3	83791586	.	.	.	.	.	.	.	.	.
chr3	83863238	.	.	.	.	.	.	.	.	.
chr16	17866100	.	.	.	.	.	.	.	.	.
chr6	128054836	.	.	.	.	.	.	.	.	.
chr1	55293624	.	.	.	.	.	.	.	.	.
chr1	145601109	.	.	.	.	.	.	.	.	.
chr8	24206095	.	.	.	.	.	.	.	.	.
chr16	94024219	.	.	.	.	.	.	.	.	.
chr3	53475904	.	.	.	.	.	.	.	.	.
chr1	145601109	.	.	.	.	.	.	.	.	.
chr5	115997785	.	.	.	.	.	.	.	.	.
chr9	108851463	.	.	.	.	.	.	.	.	.
chr19	26820923	.	.	.	.	.	.	.	.	.
chr14	120603083	.	.	.	.	.	.	.	.	.
chr14	120721569	.	.	.	.	.	.	.	.	.
chr15	97706407	.	.	.	.	.	.	.	.	.
chr13	104768206	.	.	.	.	.	.	.	.	.
chr5	111739454	.	.	.	.	.	.	.	.	.
chr1	158590699	.	.	.	.	.	.	.	.	.
chr11	29514477	.	.	.	.	.	.	.	.	.
chr19	9018714	.	.	.	.	.	.	.	.	.
chr5	23158397	.	.	.	.	.	.	.	.	.
chr1	170265171	.	.	.	.	.	.	.	.	.
chr5	125870085	.	.	.	.	.	.	.	.	.
chr14	55194787	.	.	.	.	.	.	.	.	.
chr11	97233548	.	.	.	.	.	.	.	.	.
chr14	65935630	.	.	.	.	.	.	.	.	.
chr6	103599133	.	.	.	.	.	.	.	.	.
chr2	132577421	.	.	.	.	.	.	.	.	.
chr1	40336020	.	.	.	.	.	.	.	.	.
chr8	37107644	.	.	.	.	.	.	.	.	.
chr8	14306960	.	.	.	.	.	.	.	.	.
chr11	18798190	.	.	.	.	.	.	.	.	.
chr11	19003164	.	.	.	.	.	.	.	.	.
chr11	93986729	.	.	.	.	.	.	.	.	.
chr15	57480129	.	.	.	.	.	.	.	.	.
chr7	28010205	.	.	.	.	.	.	.	.	.
chr12	25562241	.	.	.	.	.	.	.	.	.
chr12	25648378	.	.	.	.	.	.	.	.	.
chr2	172759694	.	.	.	.	.	.	.	.	.
chr2	172763360	.	.	.	.	.	.	.	.	.
chr3	133263978	.	.	.	.	.	.	.	.	.
chr3	133271907	.	.	.	.	.	.	.	.	.
chr11	115639021	.	.	.	.	.	.	.	.	.
chr7	26061110	.	.	.	.	.	.	.	.	.
chr5	115329525	.	.	.	.	.	.	.	.	.
chr5	66472573	.	.	.	.	.	.	.	.	.
chr13	97344282	.	.	.	.	.	.	.	.	.
chr14	52550650	.	.	.	.	.	.	.	.	.
chr16	91875996	.	.	.	.	.	.	.	.	.
chr7	35861923	.	.	.	.	.	.	.	.	.
chr10	21862583	.	.	.	.	.	.	.	.	.
chr10	21862774	.	.	.	.	.	.	.	.	.
chr12	80608252	.	.	.	.	.	.	.	.	.
chr16	57391635	.	.	.	.	.	.	.	.	.
chr16	57391748	.	.	.	.	.	.	.	.	.
chr5	115997785	.	.	.	.	.	.	.	.	.
chr10	89195191	.	.	.	.	.	.	.	.	.
chr12	112975712	.	.	.	.	.	.	.	.	.
chr5	50430918	.	.	.	.	.	.	.	.	.
chr5	51959859	.	.	.	.	.	.	.	.	.
chr13	57960273	.	.	.	.	.	.	.	.	.
chr6	134445175	.	.	.	.	.	.	.	.	.
chr6	134445312	.	.	.	.	.	.	.	.	.
chr1	17040475	.	.	.	.	.	.	.	.	.
chr3	59001668	.	.	.	.	.	.	.	.	.
chr2	112043286	.	.	.	.	.	.	.	.	.
chr2	27585569	.	.	.	.	.	.	.	.	.
chr11	93986729	.	.	.	.	.	.	.	.	.
chr8	70850825	.	.	.	.	.	.	.	.	.
chr11	59272503	.	.	.	.	.	.	.	.	.
chr4	62324439	.	.	.	.	.	.	.	.	.
chr11	6069204	.	.	.	.	.	.	.	.	.
chr1	77467717	.	.	.	.	.	.	.	.	.
chr17	43064430	.	.	.	.	.	.	.	.	.
chr16	16912317	.	.	.	.	.	.	.	.	.
chr3	109687117	.	.	.	.	.	.	.	.	.
chr3	109687117	.	.	.	.	.	.	.	.	.
chr9	44215148	.	.	.	.	.	.	.	.	.
chr5	147072751	.	.	.	.	.	.	.	.	.
chr5	147072865	.	.	.	.	.	.	.	.	.
chr2	31019531	.	.	.	.	.	.	.	.	.
chr5	72564131	.	.	.	.	.	.	.	.	.
chr2	25988548	.	.	.	.	.	.	.	.	.
chr15	37127869	.	.	.	.	.	.	.	.	.
chr11	3000481	.	.	.	.	.	.	.	.	.
chr1	52635488	.	.	.	.	.	.	.	.	.
chr9	42777363	.	.	.	.	.	.	.	.	.
chr19	5846865	.	.	.	.	.	.	.	.	.
chr15	35249192	.	.	.	.	.	.	.	.	.
chr15	35631086	.	.	.	.	.	.	.	.	.
chr9	44215148	.	.	.	.	.	.	.	.	.
chr1	95196573	.	.	.	.	.	.	.	.	.
chr14	61693994	.	.	.	.	.	.	.	.	.
chr12	112975712	.	.	.	.	.	.	.	.	.
chrX	166427362	.	.	.	.	.	.	.	.	.
chr11	3266659	.	.	.	.	.	.	.	.	.
chr17	56447632	.	.	.	.	.	.	.	.	.
chr12	72971895	.	.	.	.	.	.	.	.	.
chr12	106237696	.	.	.	.	.	.	.	.	.
chr1	163837980	.	.	.	.	.	.	.	.	.
chr1	10627335	.	.	.	.	.	.	.	.	.
chr10	60613588	.	.	.	.	.	.	.	.	.
chr6	128547343	.	.	.	.	.	.	.	.	.
chr16	17949763	.	.	.	.	.	.	.	.	.
chr7	146041529	.	.	.	.	.	.	.	.	.
chr2	104540072	.	.	.	.	.	.	.	.	.
chr7	137768001	.	.	.	.	.	.	.	.	.
chr3	92698059	.	.	.	.	.	.	.	.	.
chr14	63456124	.	.	.	.	.	.	.	.	.
chr11	5481053	.	.	.	.	.	.	.	.	.
chr9	106273656	.	.	.	.	.	.	.	.	.
chr1	9629107	.	.	.	.	.	.	.	.	.
chr1	9629279	.	.	.	.	.	.	.	.	.
chr12	112975712	.	.	.	.	.	.	.	.	.
chr5	87159785	.	.	.	.	.	.	.	.	.
chr13	63189880	.	.	.	.	.	.	.	.	.
chr13	63381834	.	.	.	.	.	.	.	.	.
chr4	132011663	.	.	.	.	.	.	.	.	.
